profile_id,pres,temp,lat,lon,psal,date
5904437_131,6.7,8.531,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,10.1,8.53,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,20.1,8.531,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,31.0,8.527,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,41.0,8.528,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,50.7,8.528,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,60.6,8.529,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,70.6,8.528,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,80.0,8.529,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,90.7,8.478,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,98.2,8.083,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,110.8,7.916,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,120.6,7.862,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,130.7,7.863,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,140.8,7.878,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,150.6,7.848,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,160.1,7.773,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,169.9,7.762,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,180.2,7.651,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,190.3,7.53,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,200.2,7.433,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,210.1,7.416,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,220.9,7.315,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,230.8,7.137,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,240.6,7.045,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,250.4,6.954,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,260.2,6.703,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,270.4,6.7,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,280.6,6.417,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,290.1,6.351,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,300.6,6.207,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,310.6,6.055,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,320.6,5.962,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,330.3,5.907,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,340.2,5.866,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,350.8,5.807,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,360.7,5.692,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,380.2,5.56,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,400.9,5.468,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,450.7,5.369,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,500.3,5.031,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,550.5,4.815,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,600.5,4.52,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,650.6,4.116,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,700.7,3.864,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,750.5,3.653,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,800.4,3.436,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,850.8,3.222,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,899.9,3.064,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,950.4,2.962,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1000.4,2.907,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1050.0,2.871,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1099.8,2.857,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1150.8,2.84,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1200.7,2.822,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1250.5,2.791,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1300.4,2.725,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1348.3,2.682,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1400.9,2.664,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1450.4,2.65,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1500.0,2.631,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1549.8,2.613,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1600.0,2.595,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1650.2,2.54,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1700.4,2.49,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1750.0,2.411,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1800.6,2.381,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1850.6,2.364,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1899.6,2.342,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1949.9,2.331,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904437_131,1999.6,2.316,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904412_127,6.4,9.046,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,10.4,9.043,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,20.6,9.045,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,30.7,9.047,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,41.0,9.049,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,50.5,9.05,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,60.0,9.049,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,70.4,9.049,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,80.9,9.05,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,90.8,9.053,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,100.7,9.065,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,110.7,9.068,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,120.1,9.062,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,130.4,9.05,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,139.5,9.042,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,150.7,9.026,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,160.4,7.609,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,170.3,7.429,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,180.5,7.408,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,190.4,7.671,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,200.5,7.529,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,210.4,7.494,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,220.5,7.353,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,231.0,7.303,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,240.6,7.2,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,250.5,7.145,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,259.9,7.001,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,270.4,6.797,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,279.9,6.698,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,290.9,6.622,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
